molregno,withdrawn_flag,pref_name,chembl_id,chirality,black_box_warning,polymer_flag,canonical_smiles,level5,level1_description,level2_description,level3_description,level4_description,who_name,warning_type,warning_class,warning_description,warning_country,warning_year
97,0,PRAZOSIN,CHEMBL2,2,0,0,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,"('C02CA01',)","('CARDIOVASCULAR SYSTEM',)","('ANTIHYPERTENSIVES',)","('ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING',)","('Alpha-adrenoreceptor antagonists',)","('prazosin',)",,,,,
115,0,NICOTINE,CHEMBL3,1,0,0,CN1CCC[C@H]1c1cccnc1,"('N07BA01',)","('NERVOUS SYSTEM',)","('OTHER NERVOUS SYSTEM DRUGS',)","('DRUGS USED IN ADDICTIVE DISORDERS',)","('Drugs used in nicotine dependence',)","('nicotine',)",,,,,
146,0,OFLOXACIN,CHEMBL4,0,1,0,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,"('J01MA01', 'S01AE01', 'S02AA16')","('ANTIINFECTIVES FOR SYSTEMIC USE', 'SENSORY ORGANS', 'SENSORY ORGANS')","('ANTIBACTERIALS FOR SYSTEMIC USE', 'OPHTHALMOLOGICALS', 'OTOLOGICALS')","('QUINOLONE ANTIBACTERIALS', 'ANTIINFECTIVES', 'ANTIINFECTIVES')","('Fluoroquinolones', 'Fluoroquinolones', 'Antiinfectives')","('ofloxacin', 'ofloxacin', 'ofloxacin')",Black Box Warning,"('Neurotoxicity', 'Musculoskeletal toxicity')",,United States,
147,0,NALIDIXIC ACID,CHEMBL5,2,0,0,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,"('J01MB02',)","('ANTIINFECTIVES FOR SYSTEMIC USE',)","('ANTIBACTERIALS FOR SYSTEMIC USE',)","('QUINOLONE ANTIBACTERIALS',)","('Other quinolones',)","('nalidixic acid',)",,,,,
173,0,INDOMETHACIN,CHEMBL6,2,1,0,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,"('C01EB03', 'M01AB01', 'M01AB51', 'M02AA23', 'S01BC01')","('CARDIOVASCULAR SYSTEM', 'MUSCULO-SKELETAL SYSTEM', 'MUSCULO-SKELETAL SYSTEM', 'MUSCULO-SKELETAL SYSTEM', 'SENSORY ORGANS')","('CARDIAC THERAPY', 'ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS', 'ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS', 'TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN', 'OPHTHALMOLOGICALS')","('OTHER CARDIAC PREPARATIONS', 'ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS', 'ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS', 'TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN', 'ANTIINFLAMMATORY AGENTS')","('Other cardiac preparations', 'Acetic acid derivatives and related substances', 'Acetic acid derivatives and related substances', 'Antiinflammatory preparations, non-steroids for topical use', 'Antiinflammatory agents, non-steroids')","('indometacin', 'indometacin', 'indometacin, combinations', 'indometacin', 'indometacin')",Black Box Warning,"('Neurotoxicity', 'Gastrotoxicity', 'Cardiotoxicity')",,United States,
194,0,SULBACTAM,CHEMBL403,1,0,0,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,"('J01CG01',)","('ANTIINFECTIVES FOR SYSTEMIC USE',)","('ANTIBACTERIALS FOR SYSTEMIC USE',)","('BETA-LACTAM ANTIBACTERIALS, PENICILLINS',)","('Beta-lactamase inhibitors',)","('sulbactam',)",,,,,
207,0,TAZOBACTAM,CHEMBL404,1,0,0,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,"('J01CG02',)","('ANTIINFECTIVES FOR SYSTEMIC USE',)","('ANTIBACTERIALS FOR SYSTEMIC USE',)","('BETA-LACTAM ANTIBACTERIALS, PENICILLINS',)","('Beta-lactamase inhibitors',)","('tazobactam',)",,,,,
241,0,CIPROFLOXACIN,CHEMBL8,2,1,0,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,"('J01MA02', 'S01AE03', 'S02AA15', 'S03AA07')","('ANTIINFECTIVES FOR SYSTEMIC USE', 'SENSORY ORGANS', 'SENSORY ORGANS', 'SENSORY ORGANS')","('ANTIBACTERIALS FOR SYSTEMIC USE', 'OPHTHALMOLOGICALS', 'OTOLOGICALS', 'OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS')","('QUINOLONE ANTIBACTERIALS', 'ANTIINFECTIVES', 'ANTIINFECTIVES', 'ANTIINFECTIVES')","('Fluoroquinolones', 'Fluoroquinolones', 'Antiinfectives', 'Antiinfectives')","('ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin')",Black Box Warning,"('Neurotoxicity', 'Musculoskeletal toxicity')",,United States,
246,0,NORFLOXACIN,CHEMBL9,2,1,0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,"('J01MA06', 'S01AE02')","('ANTIINFECTIVES FOR SYSTEMIC USE', 'SENSORY ORGANS')","('ANTIBACTERIALS FOR SYSTEMIC USE', 'OPHTHALMOLOGICALS')","('QUINOLONE ANTIBACTERIALS', 'ANTIINFECTIVES')","('Fluoroquinolones', 'Fluoroquinolones')","('norfloxacin', 'norfloxacin')",Black Box Warning,"(None,)",,United States,
543,0,AMPHETAMINE,CHEMBL405,0,1,0,CC(N)Cc1ccccc1,"('N06BA01',)","('NERVOUS SYSTEM',)","('PSYCHOANALEPTICS',)","('PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS',)","('Centrally acting sympathomimetics',)","('amfetamine',)",Black Box Warning,"('Misuse',)",,United States,
