,median,"(1st quartile, 3rd quartile)"
P,367.0,"361.0, 373.0"
N,66.0,"63.75, 68.25"
T,432.0,"427.0, 440.0"
spec,0.48570261437908496,"0.46875, 0.5079365079365079"
sens,0.9757405348852416,"0.9705487033523087, 0.9807162534435262"
balacc,0.7318266340946924,"0.722043437559097, 0.7418591282920551"
mcc,0.5663679173551973,"0.5464322192886715, 0.5901101006944"
ppv,0.9132021884062304,"0.9093247934639329, 0.9190893728278545"
npv,0.7804878048780488,"0.7538265306122449, 0.8163875598086124"
PRcurve,0.9236456477267965,"0.916624864118417, 0.931168490766835"
ROCcurve,0.7660924213128806,"0.7565706235810997, 0.7797225264680423"
