elab_smiles,pred,canonical_smiles,withdrawn_flag,pref_name,chembl_id,level5
Brc1c(NC2=NCCN2)ccc2nccnc12,1,Brc1c(NC2=NCCN2)ccc2nccnc12,0,BRIMONIDINE,CHEMBL844,"('S01EA05', 'D11AX21', 'S01GA07')"
C#CC(C)(O)CC,1,C#CC(C)(O)CC,0,MEPARFYNOL,CHEMBL501613,"('N05CX03', 'N05CM15')"
C#CC(O)(C=CCl)CC,1,C#CC(O)(/C=C/Cl)CC,0,ETHCHLORVYNOL,CHEMBL591,"('N05CM08',)"
C#CC1(O)CCC2C3=C(C=CC21CC)C1=C(CC3)CC(=O)CC1,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,0,GESTRINONE,CHEMBL1868702,"('G03XA02',)"
C#CC1(O)CCC2C3C(C)C=C4CC(=O)CCC4C3CCC21C,1,C#C[C@]1(O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)C1=C(CC(=O)CC1)C[C@H]3C,0,TIBOLONE,CHEMBL2103774,"('G03CX01',)"
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,0,ETONOGESTREL,CHEMBL1531,"('G03AC08',)"
C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,0,DESOGESTREL,CHEMBL1533,"('G03AC09',)"
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,1,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0,PRALATREXATE,CHEMBL1201746,"('L01BA05',)"
C#CCN(C)C(C)Cc1ccccc1,1,C#CCN(C)[C@H](C)Cc1ccccc1,0,SELEGILINE,CHEMBL972,"('N04BD01',)"
C#CCN(C)Cc1ccccc1,1,C#CCN(C)Cc1ccccc1,0,PARGYLINE,CHEMBL673,"('C02KC01',)"
C#CCNC1CCc2ccccc21,1,C#CCN[C@@H]1CCc2ccccc21,0,RASAGILINE,CHEMBL887,"('N04BD02',)"
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0,ERLOTINIB,CHEMBL553,"('L01EB02',)"
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0,CINNARIZINE,CHEMBL43064,"('N07CA02', 'N07CA52')"
C(COCCOCC1CO1)OCCOCC1CO1,1,C(COCCOCC1CO1)OCCOCC1CO1,0,ETOGLUCID,CHEMBL460287,"('L01AG01',)"
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,1,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,1,PERHEXILINE,CHEMBL75880,"('C08EX02',)"
C1CCN2CC3CC(CN4CCCCC34)C2C1,1,C1CCN2C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]2C1,1,SPARTEINE,CHEMBL412873,"('C01BA04',)"
C1CNCCN1,1,C1CNCCN1,0,PIPERAZINE,CHEMBL1412,"('P02CB01',)"
C1N2CN3CN1CN(C2)C3,1,C1N2CN3CN1CN(C2)C3,0,METHENAMINE,CHEMBL1201270,"('J01XX05',)"
C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,1,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,0,CANNABIDIOL,CHEMBL190461,"('N03AX24',)"
C=C(CCCCCCCCCCCCCCCc1nn[nH]n1)NS(=O)(=O)CCCC(=O)NCCOCCOCC(=O)NC(CCC(=O)NC(CCC(=O)NCCOCCOCC(=O)NC(CCCCNC(=O)CSCC(N)C(=O)O)C(N)=O)C(=O)O)C(=O)O,1,C=C(CCCCCCCCCCCCCCCc1nnn[nH]1)NS(=O)(=O)CCCC(=O)NCCOCCOCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)NCCOCCOCC(=O)N[C@@H](CCCCNC(=O)CSC[C@H](N)C(=O)O)C(N)=O)C(=O)O)C(=O)O,0,SOMAPACITAN,CHEMBL3707290,"('H01AC07',)"
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,1,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,0,BEXAROTENE,CHEMBL1023,"('L01XF03',)"
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)CC(O)CC1O,1,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@H](C)C(C)C)C[C@@H](O)C[C@@H]1O,0,DOXERCALCIFEROL,CHEMBL1200810,"('H05BX03',)"
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2CC2)CC(O)CC1O,1,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@@H](O)C2CC2)C[C@@H](O)C[C@@H]1O,0,CALCIPOTRIENE,CHEMBL1200666,"('D05AX02', 'D05AX52')"
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCC(O)C(C)C)CC(O)CC1O,1,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CC[C@@H](O)C(C)C)C[C@@H](O)C[C@@H]1O,0,TACALCITOL,CHEMBL2105611,"('D05AX04',)"
C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21,1,C=C1[C@@H](n2cnc3c(=O)[nH]c(N)nc32)C[C@H](O)[C@H]1CO,0,ENTECAVIR,CHEMBL713,"('J05AF10',)"
C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,1,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,0,EXEMESTANE,CHEMBL1200374,"('L02BG06',)"
