MedProduct,ActiveSub,firstPediatricDate,Orphan,TherapeuticArea,ATC,MainCondition,MinimumApprovedAge,PediatricTherapeuticIndications,elabSMILES,prediction
Abilify,aripiprazole,2009,no,Neurology,N- Neuropsychiatric,Bipolar Disorder Schizophrenia,> 13 years,  (Bipolar I Disorder),O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1
Abraxane,paclitaxel,2020,no,Oncology ,L- Antineoplastic and immunomodulating,nd,nd,_PIP negative outcome,CC(=O)OC1=C2C(C)C(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(O)C3(C)C1=O)C2(C)C,1
Baraclude,Entecavir,2014,no,Infectious diseases,J- Antiinfectives,"Hepatitis B, Chronic",> 2 years,"Baraclude is also indicated for the treatment of chronic HBV infection in nucleoside naive paediatric patients from 2 to < 18 years of age with compensated liver disease who have evidence of active viral replication and persistently elevated serum ALT levels, or histological evidence of moderate to severe inflammation and/or fibrosis. ",C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21,1
Bemrist Breezhaler,"indacaterol, Mometasone furoate",2020,no,Respiratory ,R- Respiratory,Asthma,> 12 years,Bemrist Breezhaler is indicated as a maintenance treatment of asthma in adults and adolescents 12 years of age and older not adequately controlled with inhaled corticosteroids and inhaled short-acting beta2-agonists.,CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)CCl,1
Briviact (in Italy: Nubriveo),Brivaracetam,2016,no,Neurology,N- Neuropsychiatric,Epilepsy,> 4 years,"Briviact is indicated as adjunctive therapy in the treatment of partial onset seizures with or without secondary generalisation in adults, adolescents and children from 4 years of age with epilepsy",CCCC1CC(=O)N(C(CC)C(N)=O)C1,1
Buccolam,midazolam,2011,no,Neurology,N- Neuropsychiatric,Epilepsy,3 months to < 18 years,"Treatment of prolonged, acute, convulsive seizures in infants, toddlers, children and adolescents (from 3 months to < 18 years). BUCCOLAM must only be used by parents/carers where the patient has been diagnosed to have epilepsy. For infants between 3-6 months of age treatment should be in a hospital setting where monitoring is possible and resuscitation equipment is available. ",Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,1
Cancidas,caspofungin acetate,2008,no,Infectious diseases,J- Antiinfectives, Aspergillosis Candidiasis,> 1 year,"Treatment of invasive candidiasis in adult or paediatric patients. Treatment of invasive aspergillosis in adult or paediatric patients who are refractory to or intolerant of amphotericin B, lipid formulations of amphotericin B and/or itraconazole. Refractoriness is defined as progression of infection or failure to improve after a minimum of 7 days of prior therapeutic doses of effective antifungal therapy. Empirical therapy for presumed fungal infections (such as Candida or Aspergillus) in febrile, neutropaenic adult or paediatric patients.",CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C(NCCN)NC(=O)C2C(O)CCN2C(=O)C(C(O)CCN)NC(=O)C(C(O)C(O)c2ccc(O)cc2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,1
Caprelsa,Vandetanib,2016,no,Oncology,L- Antineoplastic and immunomodulating,Thyroid Neoplasms,> 5 years,"Caprelsa is indicated for the treatment of aggressive and symptomatic medullary thyroid cancer (MTC) in patients with unresectable locally advanced or metastatic disease. Caprelsa is indicated in adults, children and adolescents aged 5 years and older. For patients in whom re-arranged-during-transfection(RET) mutation is not known or is negative, a possible lower benefit should be taken into account before individual treatment decision.",COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,1
Cayston,aztreonam lysine,2012,yes,Infectious diseases,J- Antiinfectives,Cystic Fibrosis Respiratory Tract Infections,> 6 years,Cayston is indicated for the suppressive therapy of chronic pulmonary infections due to Pseudomonas aeruginosa in patients with cystic fibrosis (CF) aged 6 years and older.,CC1C(=NC(=O)C(NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,0
Celsentri,maraviroc,2017,no,Infectious diseases,J- Antiinfectives,HIV Infections,> 2 years,"CELSENTRI, in combination with other antiretroviral medicinal products, is indicated for treatment-experienced adults, adolescents and children of 2 years of age and older and weighing at least 10 kg infected with only CCR5-tropic HIV-1 detectable",Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1,1
Colobreathe,Colistimethate sodium,2012,no,Infectious diseases,J- Antiinfectives, Cystic Fibrosis,> 6 years,Colobreathe is indicated for the management of chronic pulmonary infections due to Pseudomonas aeruginosa in patients with cystic fibrosis (CF) aged 6 years and older,CCC(C)CCCCC(=O)NC(CCNCS(=O)(=O)O)C(=O)NC(C(=O)NC(CCNCS(=O)(=O)O)C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCNCS(=O)(=O)O)NC(=O)C(CCNCS(=O)(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS(=O)(=O)O)NC1=O)C(C)O,1
Cystadrops,mercaptamine hydrochloride,2017,yes,Ophthalmology,Other ,Cystinosis,> 2 years,Cystadrops is indicated for the treatment of corneal cystine crystal deposits in adults and children from 2 years of age with cystinosis,NCCS,1
Dectova,Zanamivir,2019,no,Infectious diseases,J- Antiinfectives,"Influenza, Human",> 6 months,"Dectova is indicated for the treatment of complicated and potentially life-threatening influenza A or B virus infection in adult and paediatric patients (aged ≥6 months) when: - The patient’s influenza virus is known or suspected to be resistant to anti-influenza medicinal products other than zanamivir, and/or - Other anti-viral medicinal products for treatment of influenza, including inhaled zanamivir, are not suitable for the individual patient. ",CC(=O)NC1C(N=C(N)N)C=C(C(=O)O)OC1C(O)C(O)CO,1
Deltyba,Delamanid,2020,yes,Infectious diseases,J- Antiinfectives,"Tuberculosis, Multidrug-Resistant", children with a body weight of at least 30 kg,"Deltyba is indicated for use as part of an appropriate combination regimen for pulmonary multi-drug resistant tuberculosis (MDR-TB) in adults, adolescents and children with a body weight of at least 30 kg when an effective treatment regimen cannot otherwise be composed for reasons of resistance or tolerability",CC1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,1
Dificlir,fidaxomicin,2015,no,alimentary,A- Alimentary/Metabolism,Clostridium Infections,all ages,DIFICLIR film-coated tablets is indicated for the treatment of Clostridioides difficile infections (CDI) also known as C. difficile-associated diarrhoea (CDAD) in adult and paediatric patients with a body weight of at least 12.5 kg DIFICLIR granules for oral suspension is indicated for the treatment of Clostridioides difficile infections (CDI) also known as C. difficile-associated diarrhoea (CDAD) in adults and paediatric patients from birth to < 18 years of age,CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)OC1C(C)OC(OCC2=CC=CCC(O)C(C)=CC(CC)C(OC3OC(C)(C)C(OC(=O)C(C)C)C(O)C3O)C(C)=CC(C)=CCC(C(C)O)OC2=O)C(OC)C1O,1
Ecalta,anidulafungin,2020,no,Infectious diseases,J- Antiinfectives,Candidiasis,> 1 month,Treatment of invasive candidiasis in adults and paediatric patients aged 1 month to < 18 years,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)CN5C(=O)C(C(C)O)NC(=O)C(C(O)C(O)c5ccc(O)cc5)NC(=O)C5CC(O)CN5C(=O)C(C(C)O)NC4=O)cc3)cc2)cc1,1
